Junction	9cda0fc1-8eb8-4394-88f2-6266d09e5f2a	d1f38097-b071-4dab-93a0-0c05eb84e72b	8db779ef-db1b-40e9-ad21-97726b18e04a	336bd630-4b43-4082-97ed-353c29f5c365	8392e265-7f49-40f9-9014-12f94244f18d	fbfc317c-5622-4636-872b-d7e46a8dc951	1df5c2b5-c6b8-4f3d-a4b4-e7099b2bef6e	dd6b706f-b041-461a-ad34-c21b1170b791	4aaa4d90-b7bb-47ab-b84f-0490a5d1e398	15c70103-439c-4ed6-b7a3-b8e97402559c	a9c0873e-8787-45ed-be42-15e4611d41a1	6a19da6d-7cc9-428f-ae35-ff31516b10b2	6d5171d8-3617-4398-8183-ab6aa50d75b4	da7e8a75-b089-47d9-99ae-b892b12b37cb	1755339f-355b-4dd2-9c6d-57c19c1f1dd1	1199c8bc-b239-48b8-87bb-e80c8fe1ebf5	6ce4b5e2-0273-42f0-966b-202885b905f7	6d46f0fa-e4f1-415f-b444-29ad15ae15ae	f3651eda-5841-4556-a291-fb3585bdabe3	8457e0f2-d754-4d72-b87b-91c05f7a370e	42a45525-98f9-4b5e-beda-cfb93bdbb729	3abfd181-d762-485d-851e-ff51ee031f3c	3f4a620d-2c92-4f0e-934a-28756fed6f3e	f1f4d6e6-9daa-4319-adab-5e9e12b7dd3e	03d50b76-acc8-401e-a39e-2ddef243c456	7934a598-36b2-47bb-8f85-a57246fc1f58	46a99965-e858-4ef8-9c12-630dc728ac67	0911dcc1-e7d2-460b-bd3e-a14b2c73c475	1e35c52f-e3cd-4597-bd3c-767f91382e7c	943add02-8431-415b-aaa5-4e4528fa4297	7ef54a5c-8de0-471b-a17c-6924db28e79b	57d34c73-92d7-41c6-8402-9068869220a1	9e28219d-0bc9-458a-9019-3b0db154d1b4	8b398d11-9488-4dde-9bc2-c84e3445e5c8	94b74565-c9ae-4723-8d01-4a7b6c0d3cf2	b3532ba1-ad65-44ba-b858-6fdee9de25f5	4bd92dde-456e-425d-a9c6-89795478c3fd	05da19c3-8be5-43f2-aae3-74c03eb5a70b	2f2a2314-198d-4f33-9b02-6522e728bb0f	0bc52f50-f8f8-440e-81de-5968fb8f244c	2dc9e713-b76b-4076-b59b-be8fd6480784	1ea5cfd1-fa77-441c-b2f2-84d3211eaa86	c23b910d-8bbd-4782-ae31-969d960f4b89	1e6cea84-e628-472e-bce6-438ea27b58d7	c423bed1-f85c-4bbb-bb92-f3b201f308f9
chr1:14830-185490:-	1.9639567820209491	6.348790210016113	11.238123688096069	8.010927533463686	11.715410823440605	11.742791760670162	8.648165881255965	45.900765043975746	13.169913838371388	21.111385029440168	1.7023773699972011	12.440463992964009	16.860872064536224	79.17041507485386	7.074416573988067	14.649555673116613	15.88052281100983	18.988922016859593	24.302232505257777	10.932353765283022	1.4899926832594588	5.870498587826041	10.495098788865599	18.957585561902835	2.7393204992704434	9.968382996596842	9.964244582810982	13.103608070774284	18.193862542619776	15.36684388296436	7.473413573854311	10.946274699838389	10.160568430581666	30.70320117332283	17.719939088845276	17.842250629196055	31.01578762387757	2.4238532808769784	30.977376042185874	4.04375847323855	6.0511499046711155	18.641596023056657	9.68248051974757	11.885801221860365	22.49553240081672
chr1:15039-186316:-	1.451620230189397	4.014676162216071	7.579199696622931	4.398156292882024	8.786558117580455	7.502339180428159	6.851144399436544	21.389132010288016	7.204055432955289	12.6668310176641	1.7023773699972011	6.290122243633488	10.22892905248531	56.8144379942688	6.288370287989392	8.672536958485034	10.133285984168177	14.113387985503755	15.87929964832184	9.183177162837739	1.2270527979783779	4.083825104574637	5.140456549648457	13.574567439387216	1.605808568537846	5.168791183420585	6.024892073327571	12.024487406122283	9.031485722595429	6.146737553185744	5.823439148457904	8.240453987518787	6.168916547138869	26.289616004657674	10.450220488293368	10.397282740754537	22.049138121239977	1.6419651257553725	28.027149752453887	1.9255992729707385	4.305625893708294	9.125256794503258	7.4864540101141	9.457519251802871	17.88801371631209
chr1:15948-187128:-	0.3415577012210346	0.6535519333840116	1.045406854706611	1.4136930941406505	1.0290563561130264	0.815471650046539	1.5723937965919939	3.7470012280796525	1.5758871259589695	2.315442229035373	0.30041953588185905	1.5375854373326303	1.7984930202171974	7.900232502161638	1.1229232657123915	1.2891608992342618	1.8149168926868378	2.6943740699598075	4.004345128707247	1.7491766024452833	0	0.7657172071077445	0.32127853435302856	1.8723541295706505	0	0.8614651972367642	0.4634532364098131	1.5416009495028566	3.0104952408651426	0.8781053647408206	0.5823439148457905	0.9839348044798553	1.572468923780496	3.262215124665551	2.271787062672471	2.695591821677102	4.703816132531196	0.31275526204864235	8.998190183682565	0	0.5818413369876073	0.9125256794503258	0.7985550944121705	0.6390215710677616	3.523396641091776
chr1:18062-188790:-	0	0.28009368573600496	1.8294619957365696	0.6283080418402891	2.9288527058601512	2.2017734551256556	1.347766111364566	1.8735006140398263	2.026140590518675	3.4050621015226077	0.500699226469765	1.6773659316355969	2.2481162752714963	1.3447204258998533	2.0212618782823046	2.343928907698658	1.8149168926868378	1.5396423256913185	1.9331321311000502	1.5305295271396229	0	0.5104781380718296	1.6063926717651429	1.8723541295706505	0.5667559653662986	1.5998639377254191	1.2744964001269863	2.3124014242542854	1.7015842665759504	1.317158047111231	1.8440890636783365	1.3529103561598008	1.8143872197467261	1.918950073332677	2.7261444752069655	1.2836151531795725	2.939885082831997	0.31275526204864235	2.9502262897319884	0.3851198545941477	0.6982096043851287	2.4768554156508844	2.096207122831948	1.5336517705626278	2.845820363958742
chr1:18367-195262:-	0.768504827747328	1.1203747429440198	6.53379284191632	0.9424620627604336	3.5621181557758597	4.892829900279234	1.4600799539782798	9.679753172539101	2.9266475196380863	8.444554011776066	0.6008390717637181	2.236487908847462	5.957508129469466	3.1937110115121516	5.839200981704436	5.625429378476778	6.2009660500133625	4.105712868510183	6.351719859328736	4.810235656724529	0.438233142135135	2.424771155841191	2.9985996539616	3.042575460552307	0.6612152929273484	2.3382626782140745	2.3172661820490656	7.553844652563999	4.450297312583255	5.414983082568394	3.2999488507928127	3.443771815679493	1.935346367729841	6.908220263997638	5.906646362948425	4.364291520810546	3.821850607681596	0.7818881551216059	5.752941264977377	0.6739597455397586	2.3273653479504293	4.562628397251629	2.2958458964349906	3.578520797979465	7.453339048463373
chr1:18380-195262:-	0.6831154024420693	1.0270101810320182	4.573654989341423	0.9424620627604336	2.5330617996628337	3.7511695902140794	3.257101435797701	3.278626074569696	3.3769009841977917	3.677467069644416	0.801118762351624	2.3762684031504286	2.8101453440893707	0.67236021294992665	2.5827235111385005	4.101875588472652	2.7223753390302563	3.849105814228297	3.037779063157222	2.7330884413207555	0.35058651370810795	0.7657172071077445	4.283713791373715	2.8085311943559756	0.8501339480494479	2.2151962214659653	1.8538129456392525	2.620721614154857	3.9267329228675774	2.1952634118520513	3.4940634890747426	3.197788114559529	1.451509775797381	3.454110131998819	2.4989657689397182	2.053784245087316	3.380867845256797	1.0164546016580878	3.540271547678386	0.8665196728368323	1.7455240109628218	4.041185151851443	2.096207122831948	2.811694912698151	3.9299424073715965
chr1:1041797-1041955:+	0.6831154024420693	0.28009368573600496	13.45961325434762	0.9424620627604336	22.95587255944443	6.931509025395581	8.423538196028538	0	5.065351476296688	5.175694394314363	0.100139845293953	7.967488175269084	8.542841846031688	0.16809005323748166	5.2777393488482405	6.445804496171309	6.352209124403932	3.079284651382637	9.941822388514543	10.823030227630191	0.35058651370810795	1.276195345179574	7.603591979688343	0.7021327985889939	0.6612152929273484	2.2151962214659653	1.7379496365367992	2.1582413293039995	6.937228163732721	8.781053647408205	8.152814807841068	7.379511033598914	2.7820604036116467	0.7675800293330709	7.042539894284661	4.364291520810546	2.057919557982398	0.7818881551216059	2.3601810317855905	0.19255992729707386	30.255749523355576	11.080668964753956	2.794942830442597	2.428281970057494	3.3878813856651693
chr1:1450759-1517310:+	1.0246731036631038	0.46682280956000827	5.357710130371382	0.7853850523003614	3.4038017932969327	0.815471650046539	2.1339630096605626	1.0928753581898987	1.3507603936791168	2.179239744974469	0.30041953588185905	2.795609886059328	0.674434882581449	0	1.6843848985685872	1.2891608992342618	1.663673818296268	2.0528564342550917	3.3139407961715146	1.639853064792453	0.5258797705621621	0.7657172071077445	1.6063926717651429	2.574486928159644	0.6612152929273484	4.430392442931931	1.3903597092294395	0.46248028485085707	1.5706931691470312	0.8781053647408206	1.164687829691581	1.475902206719783	1.693428071763611	1.3432650513328739	1.3630722376034827	2.310507275723231	1.175954033132799	0.39094407756080296	1.1800905158927952	0.7702397091882954	3.0255749523355577	1.5643297362005586	3.2940397644502037	1.0224345137084185	4.472003429078023
chr1:1455917-1486543:+	0.25616827591577596	0.9336456191200165	4.181627418826444	0.4712310313802168	5.145281780565131	1.549396135088424	2.246276852274277	5.464376790949493	2.8140841534981598	2.179239744974469	1.401957834115342	3.6342928518771265	2.2481162752714963	2.521350798562225	3.031892817423457	1.8751431261589262	2.419889190249117	1.9245529071141485	8.975256322964517	1.093235376528302	0.7011730274162159	0.8933367416257019	1.6063926717651429	3.042575460552307	0.9445932756104977	6.3994557509016765	2.433129491151519	1.6957610444531426	2.356039753720547	4.244175929580633	1.261745148832546	3.0747962639995476	3.7497335874765674	0.5756850219998031	2.044608356405224	3.209037882948931	2.351908066265598	1.32920986370673	2.3601810317855905	0.48139981824268463	3.4910480219256437	1.9554121702506984	1.6969295756258624	1.6614560847761801	8.130915325596407
chr1:1455917-1524272:+	0.1707788506105173	0.8402810572080149	3.5282481346348127	0.4712310313802168	3.5621181557758597	1.1416603100651546	1.9093353244331353	2.8102509210597395	1.6884504920988959	1.4982273246699473	1.301817988821389	2.096707414544496	1.236463951399323	2.1851706920872616	2.358138857996022	1.2891608992342618	2.2686461158585476	1.154731744268489	5.937477259807297	0.7652647635698114	0.6135263989891889	0.638097672589787	1.2851141374121142	2.574486928159644	0.6612152929273484	5.168791183420585	1.8538129456392525	0.7708004747514283	1.8324753640048697	3.5124214589632823	0.6794012339867556	1.8448777583997285	2.6611012556285316	0.38379001466653545	0.6815361188017414	2.310507275723231	2.057919557982398	1.1728322326824088	1.6226244593525936	0.28883989094561074	2.4437336153479507	1.173247302150419	1.49729080202282	1.1502388279219709	3.6589118965183824
